,type,length_comment,var_length,links_count,qm_count,exm_count,img_count,music_count,dots_count,ht_count,me_count,I-E,N-S,T-F,J-P
1297,INFJ,23.28,0.18705994659629516,0.16,0.38,0.4,0.1,0.0,1.28,0.0,2.44,1,0,0,0
1298,INFJ,29.14,0.1817658662467784,0.0,0.3,1.0,0.0,0.0,0.72,0.0,3.4,1,0,0,0
1299,INFJ,17.98,0.18539005607359804,0.0,0.16,0.2,0.0,0.0,0.34,0.0,2.38,1,0,0,0
1300,INFP,22.56,0.19227255721650652,0.04,0.26,0.48,0.02,0.0,0.72,0.0,2.62,1,0,0,1
1301,INFJ,22.2,0.1864230967356306,0.02,0.32,0.16,0.0,0.0,0.38,0.0,2.16,1,0,0,0
1302,INFP,5.88,0.18989755403637515,0.0,0.14,0.02,0.0,0.0,0.2,0.0,0.66,1,0,0,1
1303,ESTP,29.66,0.1830431259427083,0.0,0.38,0.42,0.0,0.02,0.9,0.0,2.28,0,1,1,1
1304,INFJ,29.32,0.18554454367535406,0.0,0.1,0.12,0.0,0.0,0.72,0.0,3.66,1,0,0,0
1305,INFP,31.86,0.19103887523387023,0.0,0.14,0.36,0.0,0.0,0.92,0.0,4.6,1,0,0,1
1306,ISFJ,28.72,0.18746845425917721,0.12,0.02,0.0,0.12,0.0,0.72,0.0,1.56,1,1,0,0
1307,INFP,21.92,0.18329294926258388,0.06,0.22,0.6,0.0,0.02,0.62,0.0,0.82,1,0,0,1
1308,ENTP,27.8,0.18354795971846677,0.12,0.5,0.0,0.0,0.04,0.74,0.0,2.8,0,0,1,1
1309,ENTP,29.06,0.18233610865945632,0.0,0.32,0.02,0.0,0.0,0.88,0.02,2.28,0,0,1,1
1310,INFP,20.4,0.18482111902452159,0.44,0.46,0.18,0.0,0.02,0.62,0.0,2.82,1,0,0,1
1311,INFP,29.88,0.18570608516148612,0.0,0.16,0.12,0.0,0.0,0.84,0.0,2.78,1,0,0,1
1312,ENFP,23.38,0.19121344092678222,0.04,0.32,2.1,0.0,0.04,0.56,0.0,2.74,0,0,0,1
1313,ISTJ,25.7,0.19386354176738574,0.06,0.12,0.0,0.02,0.0,0.64,0.0,2.12,1,1,1,0
1314,INFP,32.22,0.19584402491110528,0.06,0.12,0.16,0.0,0.02,1.52,0.0,3.92,1,0,0,1
1315,INTJ,37.22,0.18529516880686658,0.02,0.02,0.04,0.0,0.0,0.88,0.02,4.7,1,0,1,0
1316,INFP,36.6,0.18534432923590094,0.0,0.18,0.14,0.0,0.02,1.56,0.0,4.6,1,0,0,1
1317,INFP,25.3,0.19023065565905428,0.04,0.08,0.0,0.04,0.0,0.48,0.0,4.26,1,0,0,1
1318,INFJ,32.2,0.17407066857490647,0.0,0.06,0.0,0.0,0.04,0.94,0.0,3.76,1,0,0,0
1319,ISFP,24.7,0.19443379880111378,0.02,0.26,0.38,0.0,0.02,1.84,0.0,3.9,1,1,0,1
1320,INFP,6.02,0.19688509944182128,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.54,1,0,0,1
1321,INFJ,31.92,0.1796332157394448,0.04,0.08,0.02,0.0,0.0,0.84,0.0,3.74,1,0,0,0
1322,ENTP,22.56,0.19531816998810236,0.0,0.2,0.1,0.0,0.0,0.6,0.0,2.24,0,0,1,1
1323,INTP,33.22,0.18350667834159792,0.0,0.16,0.02,0.0,0.02,0.84,0.0,4.2,1,0,1,1
1324,INTP,24.66,0.18204458526016606,0.02,0.32,0.02,0.0,0.0,0.66,0.0,3.18,1,0,1,1
1325,ISTP,34.64,0.18517333243693987,0.0,0.26,0.3,0.0,0.0,1.02,0.0,2.62,1,1,1,1
1326,ENTP,29.22,0.17822118258752032,0.02,0.3,0.16,0.0,0.04,0.8,0.0,2.9,0,0,1,1
1327,INTP,23.64,0.17834563884580704,0.2,0.3,0.02,0.0,0.02,0.6,0.0,1.94,1,0,1,1
1328,ISTP,27.02,0.1863871389930719,0.02,0.06,0.06,0.02,0.0,0.46,0.02,2.98,1,1,1,1
1329,INFJ,31.28,0.186145637519208,0.04,0.2,0.12,0.02,0.0,0.86,0.02,4.22,1,0,0,0
1330,ISTP,29.16,0.19398236510505548,0.0,0.24,0.22,0.0,0.0,1.08,0.0,3.96,1,1,1,1
1331,INFP,25.72,0.18640533005664903,0.0,0.12,0.3,0.0,0.0,0.62,0.0,3.04,1,0,0,1
1332,INTP,10.84,0.17805514292807584,0.0,0.04,0.02,0.0,0.0,0.24,0.0,1.26,1,0,1,1
1333,INTP,21.32,0.18198362903906337,0.0,0.16,0.06,0.0,0.0,0.48,0.0,2.12,1,0,1,1
1334,ENFJ,27.38,0.18916554417788498,0.06,0.18,0.3,0.0,0.0,0.62,0.0,3.28,0,0,0,0
1335,ENFP,27.94,0.18670789668300447,0.0,0.2,0.16,0.0,0.04,0.64,0.0,3.18,0,0,0,1
1336,ENFJ,34.64,0.1845674754759199,0.0,0.22,0.24,0.0,0.0,1.12,0.0,3.28,0,0,0,0
1337,INTP,28.72,0.1924360394172315,0.0,0.16,0.04,0.0,0.0,0.6,0.0,3.4,1,0,1,1
1338,INFJ,7.54,0.18137110284189875,0.78,0.88,0.16,0.02,0.06,0.22,0.0,0.9,1,0,0,0
1339,ENTJ,14.16,0.18297043423438114,0.12,0.12,0.02,0.02,0.0,0.22,0.0,1.42,0,0,1,0
1340,INTP,29.1,0.19280144129900076,0.02,0.26,0.18,0.02,0.02,0.74,0.0,2.64,1,0,1,1
1341,ENTJ,22.42,0.1801180984224966,0.02,0.18,0.0,0.02,0.0,0.42,0.0,2.5,0,0,1,0
1342,INTJ,8.58,0.18783960736694505,0.0,0.02,0.1,0.0,0.0,0.18,0.0,0.94,1,0,1,0
1343,INFP,13.64,0.15973174381489968,0.78,0.0,0.04,0.78,0.0,0.28,0.04,0.76,1,0,0,1
1344,ISTP,26.58,0.19740145787133265,0.26,0.12,0.22,0.24,0.0,1.64,0.0,3.32,1,1,1,1
1345,ENFP,24.2,0.2027155560767553,0.0,0.2,0.34,0.0,0.0,0.48,0.0,1.54,0,0,0,1
1346,INFP,17.12,0.1913275579333848,0.26,0.52,0.04,0.1,0.02,0.22,0.0,2.48,1,0,0,1
1347,ENFP,3.66,0.19625243726241076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0,0,0,1
1348,INFJ,27.82,0.18710061447377588,0.0,0.08,0.04,0.0,0.0,0.64,0.0,3.26,1,0,0,0
1349,ISFJ,34.68,0.18583145359385048,0.0,0.28,0.34,0.0,0.0,1.08,0.0,4.1,1,1,0,0
1350,INFJ,20.32,0.1945046116576442,0.02,0.24,0.44,0.0,0.02,0.34,0.0,2.5,1,0,0,0
1351,INFJ,30.96,0.18434723230205094,0.0,0.08,0.16,0.0,0.08,1.12,0.0,3.38,1,0,0,0
1352,INFJ,22.36,0.1900272923996325,0.0,0.12,0.84,0.0,0.0,0.7,0.0,1.22,1,0,0,0
1353,INFJ,32.38,0.1797065745377361,0.02,0.22,0.42,0.0,0.02,0.92,0.0,3.4,1,0,0,0
1354,INFJ,25.3,0.17975241199896028,0.04,0.16,0.1,0.02,0.04,0.56,0.0,3.44,1,0,0,0
1355,INTJ,22.76,0.18311284746229078,0.16,0.18,0.04,0.04,0.0,0.54,0.0,2.5,1,0,1,0
1356,INFP,26.54,0.19118351879563186,0.04,0.36,0.32,0.0,0.04,0.86,0.0,2.58,1,0,0,1
1357,INFP,25.62,0.18626700490475603,0.02,0.16,0.22,0.0,0.04,0.58,0.0,3.5,1,0,0,1
1358,INFJ,27.5,0.18918784398645505,0.04,0.46,0.26,0.0,0.0,0.96,0.02,2.34,1,0,0,0
1359,INFJ,31.68,0.17669227230884083,0.0,0.06,0.14,0.0,0.0,0.82,0.02,2.9,1,0,0,0
1360,INFP,24.54,0.18412513224299545,0.0,0.12,0.14,0.0,0.06,0.96,0.0,3.1,1,0,0,1
1361,ISTJ,28.54,0.18117552102819418,0.06,0.08,0.04,0.0,0.02,0.74,0.0,3.02,1,1,1,0
1362,ENFP,29.8,0.1799850867544992,0.02,0.38,0.88,0.0,0.0,1.26,0.0,2.36,0,0,0,1
1363,INFP,29.32,0.18723663039640634,0.06,0.16,0.1,0.0,0.02,0.62,0.02,3.68,1,0,0,1
1364,ENTJ,15.54,0.18935778040762657,0.06,0.12,0.08,0.0,0.0,0.18,0.0,2.3,0,0,1,0
1365,ENFP,28.02,0.18982197426153455,0.04,0.4,1.38,0.0,0.02,0.52,0.0,2.88,0,0,0,1
1366,ENFP,20.96,0.18568220033582264,0.14,0.28,0.66,0.0,0.04,0.56,0.0,2.56,0,0,0,1
1367,ENTP,23.54,0.18779832892976994,0.0,0.3,0.14,0.0,0.0,0.74,0.0,2.28,0,0,1,1
1368,ESTJ,25.5,0.18496932058868754,0.1,0.3,0.12,0.0,0.0,0.66,0.0,2.42,0,1,1,0
1369,INFJ,16.44,0.1877484263855371,0.5,0.62,0.18,0.0,0.02,0.46,0.0,1.62,1,0,0,0
1370,INFJ,23.14,0.19895291898231715,0.12,0.22,0.34,0.04,0.0,1.76,0.02,2.32,1,0,0,0
1371,INTP,32.08,0.19638022221539042,0.0,0.26,1.02,0.0,0.0,1.28,0.0,1.18,1,0,1,1
1372,INFJ,16.8,0.18161402184328088,0.02,0.24,0.04,0.0,0.0,0.2,0.02,1.46,1,0,0,0
1373,INTP,20.08,0.18104843820918184,0.02,0.32,0.08,0.0,0.0,0.34,0.0,2.6,1,0,1,1
1374,ISTP,27.42,0.1832649517223653,0.1,0.36,0.04,0.0,0.0,0.66,0.0,1.86,1,1,1,1
1375,INFP,25.64,0.18456616106271334,0.1,0.14,0.06,0.0,0.0,0.64,0.0,2.66,1,0,0,1
1376,INFP,31.46,0.18897320298865788,0.0,0.18,0.2,0.0,0.0,0.74,0.0,4.74,1,0,0,1
1377,INTP,28.18,0.18134352324263037,0.02,0.2,0.12,0.02,0.0,0.84,0.0,3.26,1,0,1,1
1378,INFJ,31.5,0.18717148545408205,0.0,0.18,0.08,0.0,0.02,0.84,0.0,4.34,1,0,0,0
1379,INTP,28.66,0.18252901639756547,0.08,0.22,0.06,0.04,0.06,0.84,0.0,3.26,1,0,1,1
1380,ENFP,27.24,0.1882891237332136,0.06,0.18,0.4,0.0,0.1,1.0,0.0,2.84,0,0,0,1
1381,INFJ,28.04,0.1841144559822536,0.0,0.34,0.02,0.0,0.0,0.68,0.0,3.82,1,0,0,0
1382,INFJ,30.36,0.18343356519512635,0.02,0.04,0.06,0.0,0.0,0.7,0.0,3.1,1,0,0,0
1383,INTP,14.26,0.18957799197470016,0.1,0.18,0.1,0.02,0.04,0.12,0.0,1.38,1,0,1,1
1384,INFJ,23.68,0.19879877696340797,0.12,0.16,0.12,0.0,0.0,2.0,0.0,2.08,1,0,0,0
1385,ENFJ,22.48,0.18988744042846822,0.0,0.14,0.46,0.0,0.02,0.54,0.0,2.6,0,0,0,0
1386,INFJ,9.98,0.19592234722193905,0.02,0.1,0.06,0.0,0.02,0.16,0.0,1.44,1,0,0,0
1387,ENFP,18.52,0.18800993214486078,0.2,0.14,0.44,0.02,0.02,0.38,0.0,1.1,0,0,0,1
1388,ENTP,21.96,0.18933364070955377,0.06,0.3,0.06,0.04,0.0,0.5,0.0,2.12,0,0,1,1
1389,ISTP,18.94,0.18273654620738722,0.4,0.48,0.18,0.06,0.0,0.5,0.02,2.5,1,1,1,1
1390,ENTJ,31.52,0.17856787884345743,0.0,0.34,0.32,0.0,0.0,1.22,0.0,2.46,0,0,1,0
1391,INFP,30.06,0.18578089105264065,0.0,0.02,0.06,0.0,0.0,0.7,0.0,3.42,1,0,0,1
1392,ENFP,31.72,0.18531536019811323,0.08,0.3,0.18,0.0,0.1,0.76,0.0,3.12,0,0,0,1
1393,INTP,23.88,0.18119450078677826,0.02,0.4,0.0,0.02,0.0,0.46,0.0,2.22,1,0,1,1
1394,INTP,15.18,0.1915225010628343,0.08,0.38,0.26,0.0,0.0,0.2,0.0,1.58,1,0,1,1
1395,INFP,22.96,0.194894552678881,0.0,0.3,0.0,0.0,0.0,0.78,0.0,3.46,1,0,0,1
1396,INFP,32.66,0.18980652985639243,0.0,0.0,0.86,0.0,0.0,1.66,0.0,4.3,1,0,0,1
1397,ENTP,27.64,0.17858857391694893,0.02,0.08,0.42,0.0,0.04,0.56,0.0,3.24,0,0,1,1
1398,ISFP,29.14,0.17512314049586775,0.04,0.16,0.02,0.0,0.06,0.68,0.0,2.54,1,1,0,1
1399,INFJ,22.24,0.18668727699981094,0.1,0.28,0.02,0.08,0.06,0.38,0.0,2.36,1,0,0,0
1400,INFJ,22.12,0.18803549931745983,0.0,0.22,0.0,0.0,0.0,0.48,0.0,2.94,1,0,0,0
1401,INFP,18.98,0.18896799713722903,0.14,0.16,0.04,0.0,0.02,0.46,0.0,2.58,1,0,0,1
1402,ISTP,22.18,0.17899433179485325,0.06,0.06,0.0,0.06,0.0,0.46,0.0,1.94,1,1,1,1
1403,INFP,31.02,0.18054667568849941,0.0,0.0,0.02,0.0,0.02,0.72,0.0,1.56,1,0,0,1
1404,INFP,29.72,0.18798191887521412,0.04,0.54,0.2,0.0,0.0,0.86,0.0,3.4,1,0,0,1
1405,INFJ,29.24,0.1853096330725746,0.0,0.3,0.04,0.0,0.0,0.96,0.0,2.54,1,0,0,0
1406,INFP,32.66,0.17905175533313722,0.0,0.12,0.0,0.0,0.04,1.04,0.0,3.58,1,0,0,1
1407,INFP,33.04,0.18980012284066627,0.0,0.18,0.14,0.0,0.0,0.82,0.0,3.58,1,0,0,1
1408,ENTP,26.06,0.18587038507570142,0.02,0.24,0.62,0.0,0.0,0.78,0.02,2.66,0,0,1,1
1409,ISTP,31.82,0.18764496110161624,0.0,0.24,0.28,0.0,0.0,0.82,0.0,3.28,1,1,1,1
1410,INTP,15.86,0.18223935216182555,0.0,0.18,0.0,0.0,0.08,0.36,0.0,1.6,1,0,1,1
1411,INTJ,23.04,0.18528914169974062,0.0,0.64,0.02,0.0,0.0,0.48,0.0,1.88,1,0,1,0
1412,ISTJ,27.02,0.1803953147625517,0.12,0.18,0.06,0.0,0.08,0.5,0.0,2.96,1,1,1,0
1413,INFP,20.32,0.18520047539690293,0.1,0.24,0.02,0.04,0.02,0.32,0.04,2.58,1,0,0,1
1414,INFJ,29.76,0.189608508928825,0.0,0.18,0.14,0.0,0.0,0.7,0.0,3.68,1,0,0,0
1415,ENFJ,27.92,0.1820687034822026,0.04,0.4,0.12,0.0,0.0,0.82,0.0,1.88,0,0,0,0
1416,INFP,34.12,0.17628083809802383,0.02,0.08,0.0,0.0,0.0,0.94,0.0,3.92,1,0,0,1
1417,INFP,28.34,0.1908714933622753,0.0,0.28,0.28,0.0,0.02,0.54,0.0,1.1,1,0,0,1
1418,ENTP,25.04,0.185258024691358,0.02,0.32,0.04,0.02,0.0,0.44,0.0,3.38,0,0,1,1
1419,INTP,12.32,0.18689155691510506,0.0,0.1,0.02,0.0,0.02,0.26,0.0,1.4,1,0,1,1
1420,INTP,26.74,0.18472921747309937,0.0,0.14,0.12,0.0,0.0,0.84,0.0,3.12,1,0,1,1
1421,ISFP,25.62,0.18619679283695742,0.2,0.18,0.26,0.02,0.04,0.88,0.0,2.94,1,1,0,1
1422,INFJ,10.04,0.1816942373333842,0.66,0.82,0.04,0.0,0.0,0.32,0.0,0.86,1,0,0,0
1423,INFP,28.7,0.18765297999404829,0.0,0.2,0.7,0.0,0.0,0.78,0.02,3.3,1,0,0,1
1424,INFJ,32.92,0.18859388664654267,0.02,0.04,0.38,0.0,0.02,0.96,0.0,4.68,1,0,0,0
1425,INFP,8.16,0.19049556454835406,0.02,0.04,0.08,0.0,0.0,0.18,0.0,0.76,1,0,0,1
1426,INTP,28.54,0.18155299228745003,0.04,0.28,0.08,0.0,0.0,0.7,0.0,2.62,1,0,1,1
1427,INFJ,26.5,0.1902949131279499,0.0,0.28,0.08,0.0,0.0,0.9,0.0,2.56,1,0,0,0
1428,ENTP,22.38,0.18869773151005503,0.0,0.32,0.0,0.0,0.0,0.9,0.0,2.64,0,0,1,1
1429,ESFP,8.96,0.18996322866110593,0.02,0.16,0.0,0.0,0.0,0.18,0.0,0.8,0,1,0,1
1430,INTP,16.3,0.1888468315972222,0.02,0.1,0.04,0.0,0.0,0.4,0.0,2.0,1,0,1,1
1431,ENTP,27.42,0.19139627978346535,0.0,0.04,0.52,0.0,0.0,0.98,0.0,1.78,0,0,1,1
1432,ENTP,22.18,0.17858863297917274,0.06,0.16,0.16,0.0,0.0,0.52,0.0,2.32,0,0,1,1
1433,ENFP,19.3,0.18429342836064785,0.0,0.04,0.16,0.0,0.02,0.5,0.0,2.12,0,0,0,1
1434,INFP,11.72,0.17983940266249965,0.62,0.76,0.0,0.0,0.0,0.18,0.0,1.26,1,0,0,1
1435,ENFP,26.84,0.18554972680041376,0.04,0.1,0.04,0.0,0.0,0.58,0.0,3.34,0,0,0,1
1436,INFP,25.54,0.18185019282616538,0.18,0.38,0.28,0.0,0.06,0.8,0.0,2.32,1,0,0,1
1437,INFJ,33.76,0.18070205254155516,0.02,0.1,0.34,0.04,0.0,0.98,0.0,3.14,1,0,0,0
1438,INFP,29.0,0.18718459046774208,0.08,0.24,0.1,0.02,0.02,0.66,0.02,4.44,1,0,0,1
1439,INFP,27.54,0.18413791197861545,0.14,0.38,0.32,0.0,0.0,0.66,0.0,3.32,1,0,0,1
1440,INFP,28.44,0.1979850095814013,0.0,0.22,0.38,0.0,0.0,2.06,0.0,3.94,1,0,0,1
1441,ENFJ,25.08,0.19198872516154353,0.22,0.34,0.02,0.02,0.0,0.56,0.0,2.86,0,0,0,0
1442,INTP,30.12,0.18473301786870783,0.04,0.2,0.0,0.0,0.0,0.84,0.02,4.14,1,0,1,1
1443,INFP,23.2,0.1841732902650925,0.1,0.32,0.2,0.0,0.0,0.5,0.0,1.96,1,0,0,1
1444,INTJ,29.08,0.18008303934279069,0.0,0.42,0.08,0.0,0.0,0.74,0.0,2.62,1,0,1,0
1445,INFJ,27.22,0.19177774799674185,0.0,0.32,0.0,0.0,0.0,0.6,0.0,4.48,1,0,0,0
1446,ISFJ,25.38,0.18617166303876567,0.0,0.06,0.26,0.0,0.0,0.48,0.0,3.42,1,1,0,0
1447,ENFJ,23.98,0.17427618622432453,0.0,0.12,0.08,0.0,0.02,0.52,0.0,2.42,0,0,0,0
1448,INFP,28.2,0.1831906291597975,0.0,0.26,0.26,0.0,0.0,0.62,0.02,3.58,1,0,0,1
1449,INTP,8.48,0.1910204081632653,0.06,0.04,0.02,0.06,0.02,0.24,0.0,1.44,1,0,1,1
1450,ESTJ,28.26,0.17771400666263026,0.0,0.2,0.0,0.0,0.0,0.62,0.0,2.88,0,1,1,0
1451,INTP,13.14,0.17956738541437928,0.04,0.08,0.04,0.04,0.0,0.36,0.0,1.16,1,0,1,1
1452,ENFP,22.52,0.18314953315756038,0.0,0.14,0.56,0.0,0.0,0.58,0.0,1.94,0,0,0,1
1453,INFJ,24.54,0.18742943833471767,0.0,0.12,0.54,0.0,0.0,1.0,0.0,3.02,1,0,0,0
1454,ENTP,27.46,0.18401028718701234,0.0,0.14,0.14,0.0,0.02,0.76,0.0,2.32,0,0,1,1
1455,ENFP,34.8,0.18767632233030346,0.0,0.1,0.4,0.0,0.0,1.2,0.0,3.76,0,0,0,1
1456,INTJ,24.62,0.18304923643750945,0.0,0.18,0.06,0.0,0.02,0.64,0.0,2.52,1,0,1,0
1457,INFP,30.92,0.18155396557274447,0.0,0.04,0.0,0.0,0.0,0.72,0.0,4.24,1,0,0,1
1458,INFJ,28.16,0.17922785419405446,0.0,0.02,0.02,0.0,0.04,0.64,0.0,3.52,1,0,0,0
1459,INTJ,14.7,0.18485293802644565,0.16,0.24,0.0,0.1,0.0,0.2,0.0,1.42,1,0,1,0
1460,INFP,21.7,0.18438502406152293,0.2,0.28,0.04,0.02,0.02,0.5,0.0,3.2,1,0,0,1
1461,ENTP,17.06,0.19309375125576608,0.28,0.48,0.5,0.16,0.0,0.36,0.0,2.18,0,0,1,1
1462,ENFP,31.04,0.18464281589904105,0.0,0.12,0.32,0.0,0.02,0.74,0.0,3.64,0,0,0,1
1463,INFJ,8.82,0.19019450242590336,0.0,0.06,0.08,0.0,0.0,0.16,0.0,0.84,1,0,0,0
1464,INTP,24.6,0.17182015835087408,0.0,0.18,0.02,0.0,0.0,0.46,0.0,2.22,1,0,1,1
1465,INFJ,26.58,0.18636003972985046,0.12,0.22,0.22,0.02,0.04,0.88,0.06,2.68,1,0,0,0
1466,INFJ,29.14,0.1844901645430819,0.06,0.18,0.3,0.0,0.0,0.74,0.0,3.08,1,0,0,0
1467,INTP,16.52,0.18646020797591117,0.06,0.36,0.24,0.0,0.0,0.32,0.0,1.56,1,0,1,1
1468,ISTJ,24.1,0.19018824762578013,0.0,0.1,0.3,0.0,0.0,0.6,0.0,3.26,1,1,1,0
1469,INFP,31.46,0.1814382647606142,0.02,0.16,0.0,0.02,0.0,0.8,0.0,3.38,1,0,0,1
1470,INFP,26.64,0.1848452313036095,0.2,0.3,0.22,0.02,0.02,0.56,0.04,2.6,1,0,0,1
1471,ISTP,16.86,0.1870175625770119,0.14,0.28,0.28,0.0,0.0,0.4,0.0,2.56,1,1,1,1
1472,INFP,22.06,0.17944082785450416,0.0,0.04,0.04,0.0,0.02,0.3,0.0,2.7,1,0,0,1
1473,INFP,25.26,0.1906692394450775,0.0,0.5,0.1,0.0,0.0,0.62,0.0,3.02,1,0,0,1
1474,INFJ,32.16,0.18991221810065437,0.0,0.38,0.04,0.0,0.02,1.1,0.0,2.98,1,0,0,0
1475,INFJ,28.74,0.18056308459626916,0.18,0.16,0.16,0.0,0.02,0.86,0.0,2.92,1,0,0,0
1476,INFJ,22.32,0.18295304417979472,0.08,0.18,0.06,0.02,0.02,0.24,0.0,2.92,1,0,0,0
1477,INTJ,26.22,0.18175137506209418,0.04,0.08,0.28,0.04,0.0,0.86,0.0,3.08,1,0,1,0
1478,INTJ,32.48,0.17718613576770517,0.0,0.16,0.0,0.0,0.0,0.9,0.02,2.6,1,0,1,0
1479,ENTJ,33.54,0.1882799168322623,0.0,0.02,0.22,0.0,0.0,1.36,0.0,3.68,0,0,1,0
1480,ISTJ,27.46,0.18708623085495218,0.0,0.26,0.04,0.0,0.0,0.5,0.0,4.0,1,1,1,0
1481,ESTP,31.18,0.18604895771636876,0.0,0.24,0.18,0.0,0.0,0.7,0.0,4.28,0,1,1,1
1482,INFP,26.68,0.18612317269991008,0.0,0.18,0.08,0.0,0.0,1.16,0.0,3.14,1,0,0,1
1483,INTP,26.78,0.18968808257562947,0.12,0.28,0.06,0.06,0.0,0.78,0.0,3.92,1,0,1,1
1484,INFP,32.14,0.1807870168973205,0.0,0.08,0.14,0.0,0.0,0.82,0.0,3.44,1,0,0,1
1485,ISTP,24.58,0.18582753232469076,0.12,0.22,0.1,0.02,0.0,0.56,0.06,3.04,1,1,1,1
1486,INFJ,25.7,0.18984174930203526,0.06,0.14,0.32,0.02,0.0,0.76,0.0,2.82,1,0,0,0
1487,INFP,24.36,0.17989216894432103,0.0,0.12,0.02,0.0,0.0,0.48,0.0,2.12,1,0,0,1
1488,INTP,15.38,0.19901617929501156,0.02,0.18,0.38,0.0,0.0,0.22,0.02,1.64,1,0,1,1
1489,INFP,17.32,0.19204389574759947,0.0,0.04,0.1,0.0,0.0,0.54,0.0,2.34,1,0,0,1
1490,INFP,29.84,0.1857483330632507,0.0,0.06,0.12,0.0,0.0,0.8,0.0,3.94,1,0,0,1
1491,INTP,17.46,0.1786704217023234,0.0,0.06,0.02,0.0,0.0,0.42,0.0,1.56,1,0,1,1
1492,INFP,27.5,0.18852978611303506,0.22,0.34,0.2,0.0,0.06,0.68,0.0,2.54,1,0,0,1
1493,INFP,20.26,0.18284027019940316,0.32,0.34,0.1,0.16,0.02,0.62,0.02,2.7,1,0,0,1
1494,INFJ,22.22,0.18036378850280202,0.0,0.08,0.0,0.0,0.0,0.44,0.0,1.58,1,0,0,0
1495,ENFP,29.64,0.18822682252162853,0.06,0.26,0.2,0.0,0.02,0.96,0.0,3.22,0,0,0,1
1496,INFJ,22.32,0.18596472608802056,0.0,0.16,0.1,0.0,0.0,0.74,0.0,2.44,1,0,0,0
1497,ENTP,24.24,0.17864514918371174,0.02,0.06,0.0,0.0,0.02,0.48,0.0,2.12,0,0,1,1
1498,ISFP,22.84,0.18484861623102458,0.1,0.48,0.46,0.0,0.02,0.74,0.0,2.68,1,1,0,1
1499,ISTJ,25.5,0.17997031598467061,0.0,0.16,0.0,0.0,0.02,0.5,0.0,2.46,1,1,1,0
1500,ISFJ,30.54,0.17786468251689025,0.04,0.14,0.22,0.02,0.0,0.88,0.0,2.94,1,1,0,0
1501,INFP,33.34,0.17994399932512628,0.0,0.0,0.2,0.0,0.02,1.06,0.0,2.98,1,0,0,1
1502,ENFP,27.24,0.2047027657408729,0.0,0.5,1.06,0.0,0.02,1.1,0.04,2.72,0,0,0,1
1503,ISTJ,23.42,0.1820723931579434,0.1,0.04,0.08,0.02,0.0,0.58,0.0,3.04,1,1,1,0
1504,INFP,28.6,0.18502156700235606,0.26,0.4,0.16,0.04,0.16,1.08,0.0,3.04,1,0,0,1
1505,INFJ,8.9,0.19195492073977494,0.38,0.02,0.24,0.14,0.0,0.1,0.0,1.22,1,0,0,0
1506,INTJ,31.12,0.1856347544067222,0.0,0.42,0.06,0.0,0.04,0.72,0.0,4.72,1,0,1,0
1507,ISFJ,22.08,0.18845967864687163,0.04,0.14,0.16,0.0,0.0,0.46,0.0,3.68,1,1,0,0
1508,ISFJ,16.76,0.1893081462371795,0.34,0.12,0.22,0.2,0.04,0.6,0.02,1.3,1,1,0,0
1509,ESFJ,34.68,0.17919796168314453,0.0,0.0,0.0,0.0,0.0,1.18,0.0,3.66,0,1,0,0
1510,INTJ,18.42,0.2001996023454415,0.04,0.18,0.0,0.0,0.0,2.32,0.0,0.92,1,0,1,0
1511,INFP,30.72,0.18523612135960352,0.02,0.26,0.18,0.0,0.04,0.68,0.0,3.52,1,0,0,1
1512,INTJ,34.12,0.17380303159088326,0.0,0.14,0.04,0.0,0.0,1.08,0.0,2.78,1,0,1,0
1513,ISTP,24.2,0.17617006242186573,0.08,0.34,0.02,0.0,0.0,0.68,0.0,2.06,1,1,1,1
1514,INFP,22.36,0.1860934701464065,0.1,0.14,0.24,0.06,0.0,0.52,0.0,2.44,1,0,0,1
1515,ENTP,14.86,0.19336754604477513,0.0,0.16,0.32,0.0,0.0,0.16,0.0,1.96,0,0,1,1
1516,INTP,12.96,0.19132645445404622,0.38,0.36,0.0,0.0,0.0,0.18,0.0,1.72,1,0,1,1
1517,INTP,32.84,0.1786838899799535,0.02,0.18,0.04,0.0,0.0,0.92,0.0,2.76,1,0,1,1
1518,ENFP,31.24,0.18998201985205376,0.02,0.36,0.08,0.0,0.1,0.88,0.0,4.26,0,0,0,1
1519,INFP,23.6,0.1864811208997699,0.0,0.26,0.18,0.0,0.0,0.52,0.0,2.7,1,0,0,1
1520,INFP,27.22,0.1834639182698096,0.06,0.12,0.22,0.02,0.08,0.6,0.0,3.34,1,0,0,1
1521,ENTP,24.28,0.18280255755240152,0.0,0.08,0.28,0.0,0.0,0.88,0.0,2.74,0,0,1,1
1522,INFJ,21.94,0.1850114923131641,0.5,0.56,0.02,0.0,0.0,0.66,0.0,2.18,1,0,0,0
1523,INTJ,31.8,0.18763902787376205,0.04,0.2,0.18,0.02,0.02,1.36,0.0,4.4,1,0,1,0
1524,ENFP,13.72,0.1935668802850065,0.02,0.94,0.44,0.0,0.0,0.24,0.0,1.46,0,0,0,1
1525,INTJ,15.48,0.1707297013929549,0.56,0.24,0.04,0.34,0.02,0.32,0.0,1.6,1,0,1,0
