,goodreads_book_id,book_id,book_title,book_series,authors,average_rating,work_ratings_count,main_genre,sec_genre
79901,9833,4388,"Blind Willow, Sleeping Woman",,"Haruki Murakami, Philip Gabriel, Jay Rubin",3.83,23710,fantasy,0
80038,9838,2967,The Bookseller of Kabul,,"Åsne Seierstad, Ingrid Christopherson",3.76,33890,history,historical
80103,9844,1843,Prep,,Curtis Sittenfeld,3.36,53202,young adult,chick lit
80221,9854,9204,The End of Poverty,,"Jeffrey D. Sachs, Bono",3.66,8718,history,0
80301,9864,9966,The Ground Beneath Her Feet,,Salman Rushdie,3.77,9541,romance,fantasy
80401,9865,8973,The Moor's Last Sigh,,Salman Rushdie,3.92,10731,historical,fantasy
80503,9912,2806,The Rules of Attraction,,Bret Easton Ellis,3.71,32395,romance,drama
80610,9913,5238,Glamorama,,Bret Easton Ellis,3.47,16520,thriller,horror
80716,9914,5973,The Informers,,Bret Easton Ellis,3.39,14674,thriller,mystery
80803,9915,1908,Less Than Zero,,Bret Easton Ellis,3.58,51208,coming-of-age,classic
80903,9943,3140,The Atonement Child,,Francine Rivers,4.26,30412,romance,drama
81003,9957,6283,The Cement Garden,,Ian McEwan,3.57,18301,coming-of-age,drama
81101,9998,8114,The Woman in the Dunes,,"Kōbō Abe, E. Dale Saunders",3.91,13886,classic,fantasy
81201,10006,8305,Oracle Night,,Paul Auster,3.77,11107,mystery,drama
81311,10009,9908,Homo Faber,,Max Frisch,3.75,12097,classic,classic
81410,10031,6354,The Wall,,Jean-Paul Sartre,4.07,15562,classic,classic
81510,10033,4485,Being and Nothingness,,"Jean-Paul Sartre, Hazel E. Barnes, Mary Warnock, Richard Eyre",3.94,21146,classic,classic
81601,10037,4584,No Exit and Three Other Plays,,"Jean-Paul Sartre, Stuart Gilbert, Lionel Abel",4.09,22459,drama,classic
81709,10058,2647,Flags of Our Fathers,,"James D. Bradley, Ron Powers",4.18,39430,history,historical
81801,10065,2597,Wayside School Is Falling Down,Wayside School #2),"Louis Sachar, Joel Schick",4.17,46884,children,children
81939,10073,1421,A Long Way Down,,Nick Hornby,3.41,67676,humor,humor
82001,10084,8651,River of Blue Fire,Otherland,Tad Williams,4.0,12765,fantasy,science-fiction
82101,10090,9019,Mountain of Black Glass,Otherland,Tad Williams,4.04,12284,fantasy,science-fiction
82201,10092,9922,Sea of Silver Light,Otherland,Tad Williams,4.11,11017,fantasy,science-fiction
82310,10104,2186,The Six Wives of Henry VIII,,Alison Weir,4.1,49615,history,historical
82420,10105,9113,The Last Wife of Henry VIII,,Carolly Erickson,3.88,10684,historical,historical
82511,10108,4368,"The Autobiography of Henry VIII: With Notes by His Fool, Will Somers",,Margaret George,4.25,23288,historical,history
82612,10115,7138,The Memoirs of Cleopatra,,Margaret George,4.17,16088,historical,historical
82701,10155,2553,The Lost World,Professor Challenger,Arthur Conan Doyle,3.92,44585,classic,science-fiction
82831,10176,372,Dress Your Family in Corduroy and Denim,,David Sedaris,4.08,204247,humor,humor
82903,10210,43,Jane Eyre,,"Charlotte Brontë, Michael Mason",4.1,1286135,historical,mystery
83001,10222,3143,The Far Pavilions,,M.M. Kaye,4.2,34522,historical,romance
83131,10235,1672,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, A Man Who Would Cure the World",,Tracy Kidder,4.21,55178,history,0
83208,10238,6204,The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,,Fritjof Capra,3.96,13762,classic,history
83303,10365,321,Where the Red Fern Grows,,Wilson Rawls,4.04,280179,classic,young adult
83401,10374,1205,Hard-Boiled Wonderland and the End of the World,,"Haruki Murakami, Alfred Birnbaum",4.15,77432,fantasy,science-fiction
83528,10395,8232,How Soccer Explains the World,,Franklin Foer,3.76,9944,history,historical
83620,10412,1692,He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,,"Greg Behrendt, Liz Tuccillo",3.65,55865,chick lit,humor
83703,10441,111,The Memory Keeper's Daughter,,Kim Edwards,3.64,510582,historical,drama
83803,10444,4296,Ballet Shoes,Shoes,"Noel Streatfeild, Diane Goode",4.06,28208,children,classic
83908,10461,9857,Desolation Angels,,"Jack Kerouac, Joyce Johnson",3.92,9172,classic,adventure
84009,10505,2797,History of Beauty,,"Umberto Eco, Girolamo De Michele, Alastair McEwen",3.77,34445,history,historical
84101,10506,8697,The Island of the Day Before,,Umberto Eco,3.43,11448,fantasy,classic
84201,10507,6688,Baudolino,,"Umberto Eco, William Weaver, R.C.S. Libri",3.71,16184,historical,fantasy
84322,10534,403,The Art of War,,"Sun Tzu, Thomas Cleary",3.95,203948,classic,historical
84408,10538,2250,The Life and Times of the Thunderbolt Kid,,Bill Bryson,3.93,46658,humor,history
84528,10541,9295,Made in America: An Informal History of the English Language in the United States,,Bill Bryson,3.89,10865,history,humor
84601,10566,2041,Lisey's Story,,Stephen King,3.65,55149,horror,fantasy
84701,10567,609,Cell,,Stephen King,3.64,153150,horror,thriller
84881,10569,691,On Writing: A Memoir of the Craft,,Stephen King,4.31,151918,horror,0
84901,10572,110,A Clash of Kings ,A Song of Ice and Fire,George R.R. Martin,4.4,606765,fantasy,sci-fi-fantasy
85001,10574,5568,The Colorado Kid,Hard Case Crime #13),Stephen King,3.28,22522,mystery,horror
85101,10577,5763,Roadwork,,"Richard Bachman, Stephen King",3.59,20022,horror,thriller
85201,10579,1589,Everything's Eventual: 14 Dark Tales,,Stephen King,3.94,67337,horror,fantasy
85301,10583,305,Pet Sematary,,Stephen King,3.91,293753,horror,thriller
85401,10584,944,Desperation,,Stephen King,3.8,100128,horror,fantasy
85501,10585,915,Insomnia,,"Stephen King, Bettina Blanch Tyroller",3.79,109444,horror,fantasy
85601,10588,1900,Nightmares and Dreamscapes,,Stephen King,3.9,59208,horror,fantasy
85701,10589,703,Bag of Bones,,Stephen King,3.87,137867,horror,thriller
85801,10592,237,Carrie,,Stephen King,3.93,377650,horror,paranormal
85901,10596,2352,The Regulators,,"Richard Bachman, Stephen King",3.63,53263,horror,thriller
86001,10603,556,Cujo,,Stephen King,3.65,167044,horror,thriller
86101,10605,705,Thinner,,"Richard Bachman, Stephen King",3.66,136473,horror,thriller
86201,10607,2513,Black House,The Talisman,"Stephen King, Peter Straub",3.99,44826,horror,fantasy
86301,10611,1261,The Eyes of the Dragon,,Stephen King,3.92,81649,fantasy,horror
86401,10614,243,Misery,,Stephen King,4.11,352203,horror,thriller
86501,10617,1987,The Bachman Books,,"Richard Bachman, Stephen King",4.1,56217,horror,thriller
86601,10618,6323,Apt Pupil,,Stephen King,3.83,18199,horror,thriller
86701,10619,1423,Rose Madder,,Stephen King,3.66,76251,horror,thriller
86801,10625,1075,Dolores Claiborne,,"Stephen King, Dominique Dill",3.81,98959,horror,thriller
86901,10628,865,Night Shift,,"Stephen King, John D. MacDonald",3.96,112357,horror,thriller
87001,10629,578,Christine,,"Stephen King, Marie Milpois",3.72,157664,horror,thriller
87221,10669,5495,When Genius Failed: The Rise and Fall of Long-Term Capital Management,,Roger Lowenstein,4.16,16476,history,0
87301,10692,457,The Historian,,Elizabeth Kostova,3.77,207529,historical,fantasy
87410,10739,4973,The Moviegoer,,Walker Percy,3.7,20094,classic,classic
87526,10765,8023,A Year in the Merde,,Stephen Clarke,3.54,12216,humor,humor
87611,10775,7251,The Garden of Eden,,Ernest Hemingway,3.74,13852,classic,classic
87712,10799,401,A Farewell to Arms,,Ernest Hemingway,3.79,207523,classic,classic
87806,10836,5809,Che Guevara: A Revolutionary Life,,Jon Lee Anderson,4.1,14171,history,historical
87914,10847,688,Under the Banner of Heaven: A Story of Violent Faith,,Jon Krakauer,3.98,123697,history,crime
88025,10867,7379,The Pleasure of My Company,,Steve Martin,3.78,13784,humor,humor
88101,10873,3250,Shopgirl,,Steve Martin,3.42,32356,romance,humor
88219,10878,8167,The Great Shark Hunt: Strange Tales from a Strange Time,The Gonzo Papers,Hunter S. Thompson,4.07,10752,history,humor
88308,10882,2703,Hell's Angels: A Strange and Terrible Saga,,Hunter S. Thompson,4.0,33303,history,crime
88409,10883,1333,Benjamin Franklin: An American Life,,Walter Isaacson,3.96,71804,history,historical
88540,10884,1035,Einstein: His Life and Universe,,Walter Isaacson,4.08,73821,history,historical
88626,10890,2621,Traveling Mercies: Some Thoughts on Faith,,Anne Lamott,4.15,37537,humor,humor
88712,10907,4968,The Pursuit of Happyness,,Chris Gardner,4.17,18833,drama,classic
88823,10908,2883,Harvesting the Heart,,Jodi Picoult,3.59,37783,chick lit,romance
88903,10909,908,The Tenth Circle,,Jodi Picoult,3.48,103155,chick lit,drama
89018,10910,2633,Mercy,,Jodi Picoult,3.57,39731,chick lit,romance
89101,10911,2991,Second Glance,,Jodi Picoult,3.79,36700,mystery,chick lit
89215,10912,2433,Picture Perfect,,Jodi Picoult,3.52,44719,chick lit,romance
89303,10913,1426,Keeping Faith,,Jodi Picoult,3.79,69258,chick lit,drama
89403,10914,4427,Songs of the Humpback Whale,,Jodi Picoult,3.19,25894,chick lit,drama
89503,10915,1685,Salem Falls,,Jodi Picoult,3.8,62434,chick lit,romance
89603,10916,331,The Pact,,Jodi Picoult,4.0,235359,romance,chick lit
89703,10917,64,My Sister's Keeper,,Jodi Picoult,4.06,887880,chick lit,drama
89808,10920,453,Cold Mountain,,Charles Frazier,3.83,190137,historical,historical
89901,10929,784,For One More Day,,Mitch Albom,4.09,106720,fantasy,drama
90003,10956,557,The Virgin Suicides,,Jeffrey Eugenides,3.83,179190,young adult,coming-of-age
90101,10959,635,Sophie's World,,"Jostein Gaarder, Paulette Møller",3.88,143393,children,children
90201,10964,137,Outlander,Outlander,Diana Gabaldon,4.2,578842,historical,romance
90301,10965,1026,A Breath of Snow and Ashes,Outlander,Diana Gabaldon,4.43,102765,historical,history
90401,10967,864,The Fiery Cross,Outlander,Diana Gabaldon,4.26,120438,historical,romance
90524,10975,718,The Sound and the Fury,,William Faulkner,3.86,133331,classic,historical
90611,10979,2314,Light in August,,William Faulkner,3.93,44421,classic,classic
90701,10987,554,Voyager,Outlander,Diana Gabaldon,4.38,184208,historical,romance
90801,10988,712,Drums of Autumn,Outlander,Diana Gabaldon,4.34,145728,historical,romance
90901,10990,3780,Lord John and the Private Matter,Lord John Grey,Diana Gabaldon,3.66,32182,historical,historical
91008,11003,1390,Eleven on Top,Stephanie Plum,Janet Evanovich,4.15,88853,mystery,humor
91112,11012,1135,Dubliners,,"James Joyce, Jeri Johnson",3.85,91256,classic,classic
91208,11031,7407,The Flanders Panel,,"Arturo Pérez-Reverte, Margaret Jull Costa",3.8,14855,mystery,historical
91310,11041,7812,Delta of Venus,,Anaïs Nin,3.69,13945,classic,romance
91407,11077,5155,The Sex Lives of Cannibals: Adrift in the Equatorial Pacific,,J. Maarten Troost,3.87,17710,humor,adventure
91501,11125,170,Digital Fortress,,Dan Brown,3.6,447503,thriller,mystery
91602,11127,219,The Chronicles of Narnia,Chronicles of Narnia,"C.S. Lewis, Pauline Baynes",4.24,401676,children,children
91712,11138,493,Mere Christianity,,C.S. Lewis,4.31,198433,classic,classic
91801,11149,362,The Screwtape Letters,,C.S. Lewis,4.21,238169,classic,fantasy
91903,11206,2367,In the Time of the Butterflies,,Julia Alvarez,4.13,43803,historical,history
92003,11208,5456,How the García Girls Lost Their Accents ,,Julia Alvarez,3.62,18942,historical,young adult
92109,11229,8508,"The Sea, the Sea",,"Iris Murdoch, Mary Kinzie",3.9,12164,classic,classic
92201,11275,520,The Wind-Up Bird Chronicle,,"Haruki Murakami, Jay Rubin",4.17,159705,fantasy,mystery
92301,11279,7469,Summer of Night,,Dan Simmons,4.0,14441,horror,thriller
92401,11286,6968,Carrion Comfort,,Dan Simmons,3.89,14794,horror,fantasy
92501,11289,3246,The Rise of Endymion,Hyperion Cantos,Dan Simmons,4.16,32910,science-fiction,science-fiction
92601,11297,380,Norwegian Wood,,"Haruki Murakami, Jay Rubin",4.02,217817,romance,coming-of-age
92701,11298,1500,A Wild Sheep Chase,The Rat,"Haruki Murakami, Alfred Birnbaum",3.94,63449,fantasy,adventure
92858,11299,3828,After the Quake,,"Haruki Murakami, Jay Rubin",3.78,27483,drama,0
92901,11301,4877,Horton Hatches the Egg,,Dr. Seuss,4.14,30959,children,children
93001,11306,9308,The Dark Is Rising Sequence ,The Dark Is Rising #1-5),Susan Cooper,4.29,13225,fantasy,young adult
93101,11312,3826,"Over Sea, Under Stone",The Dark Is Rising,Susan Cooper,3.85,37339,fantasy,young adult
93201,11313,4534,Silver on the Tree,The Dark is Rising,Susan Cooper,4.16,27545,fantasy,young adult
93311,11318,9197,Trouble Is My Business,,Raymond Chandler,4.05,9466,mystery,crime
93409,11324,9323,Under the Net,,Iris Murdoch,3.76,10082,classic,classic
93512,11334,1642,Song of Solomon,,Toni Morrison,4.01,63633,classic,historical
93603,11337,763,The Bluest Eye,,Toni Morrison,3.99,121866,classic,historical
93711,11339,7440,100 Love Sonnets,,"Pablo Neruda, Stephen Tapscott",4.4,12429,classic,romance
93811,11346,2508,Sula,,Toni Morrison,3.86,42187,classic,historical
93911,11359,6934,Tar Baby,,Toni Morrison,3.91,14602,classic,romance
94008,11366,2834,The Guns of August,,"Barbara W. Tuchman, Robert K. Massie",4.18,37695,history,historical
94109,11376,5404,Main Street,,Sinclair Lewis,3.75,20509,classic,classic
94221,11413,1697,Captivating: Unveiling the Mystery of a Woman's Soul,,"John Eldredge, Stasi Eldredge",3.93,52397,romance,0
94303,11422,504,Redeeming Love,,Francine Rivers,4.48,163637,classic,history
94420,11429,9301,Ever After,Lost Love,Karen Kingsbury,4.31,9949,romance,chick lit
94522,11430,7654,Return,Redemption,"Karen Kingsbury, Gary Smalley",4.44,12329,romance,drama
94621,11432,8680,Reunion,Redemption,"Karen Kingsbury, Gary Smalley",4.49,11586,romance,drama
94722,11433,4287,Redemption,Redemption,"Karen Kingsbury, Gary Smalley",4.36,22889,romance,chick lit
94820,11436,8552,Rejoice,Redemption,"Karen Kingsbury, Gary Smalley",4.45,11597,romance,drama
94911,11437,5346,Where I'm Calling From: New and Selected Stories,,Raymond Carver,4.42,17553,classic,classic
95012,11438,2869,What We Talk About When We Talk About Love,,Raymond Carver,4.22,33517,classic,classic
95110,11446,8818,"Will You Please Be Quiet, Please?",,Raymond Carver,4.29,10505,classic,classic
95211,11449,4640,Cathedral,,Raymond Carver,4.3,20952,classic,classic
95303,11466,4994,This Boy's Life,,Tobias Wolff,3.98,21010,coming-of-age,young adult
95431,11472,5101,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,,Philip Gourevitch,4.3,19546,history,historical
95510,11486,198,The Color Purple,,Alice Walker,4.17,400965,historical,classic
95603,11507,3613,My Name Is Asher Lev,,Chaim Potok,4.19,30833,classic,historical
95706,11525,2618,"1,000 Places to See Before You Die",,Patricia Schultz,3.83,33805,adventure,history
95801,11553,5930,Boy's Life,,Robert McCammon,4.32,18250,horror,fantasy
95901,11557,2485,Swan Song,,Robert McCammon,4.28,41722,horror,fantasy
96001,11563,5903,Danse Macabre,,Stephen King,3.62,20784,horror,history
96101,11564,986,The Girl Who Loved Tom Gordon,,Stephen King,3.56,103156,horror,thriller
96201,11566,488,The Green Mile,,Stephen King,4.42,191109,horror,fantasy
96301,11570,818,Dreamcatcher,,"Stephen King, William Olivier Desmond",3.59,122599,horror,science-fiction
96401,11573,670,The Dead Zone,,Stephen King,3.9,139386,thriller,horror
96501,11574,4642,The Body,,"Stephen King, Robin A.H. Waterfield",4.26,25271,horror,mystery
96601,11580,3735,Creepshow,,"Stephen King, Bernie Wrightson, Michele Wrightson",4.06,28429,horror,fantasy
96701,11588,72,The Shining,The Shining #1),Stephen King,4.17,830881,fantasy,mystery
96801,11590,349,'Salem's Lot,,Stephen King,3.99,246360,horror,thriller
96901,11597,967,The Dark Half,,Stephen King,3.74,99918,thriller,horror
97001,11602,1498,Hearts in Atlantis,,Stephen King,3.8,70886,horror,fantasy
97101,11605,9559,Riding the Bullet,,"Stephen King, Josh Hamilton",3.6,11338,horror,fantasy
97201,11607,1795,The Running Man,,"Richard Bachman, Stephen King",3.8,67356,horror,science-fiction
97310,11623,7592,The Unabridged Journals of Sylvia Plath,,"Sylvia Plath, Karen V. Kukil",4.29,14219,classic,classic
97412,11650,2079,American Pastoral,The American Trilogy,Philip Roth,3.91,44766,classic,historical
97509,11666,7079,Rabbit at Rest,Rabbit Angstrom #4),John Updike,3.96,12685,classic,classic
97609,11686,7907,The Stories of John Cheever,,John Cheever,4.27,12447,classic,classic
97730,11690,8355,Istanbul: Memories and the City,,Orhan Pamuk,3.77,12130,history,historical
97810,11691,3156,Snow,,"Orhan Pamuk, Maureen Freely",3.55,30451,historical,classic
97903,11711,3869,Vernon God Little,,D.B.C. Pierre,3.58,24473,humor,coming-of-age
98012,11713,1133,The English Patient,,Michael Ondaatje,3.88,92162,historical,classic
98111,11734,3703,The Human Stain,The American Trilogy,Philip Roth,3.84,26018,classic,drama
98212,11741,3638,Housekeeping,,Marilynne Robinson,3.82,30569,classic,coming-of-age
98312,11761,4220,Underworld,,Don DeLillo,3.92,22303,historical,classic
98412,11762,1312,White Noise,,Don DeLillo,3.86,70218,classic,science-fiction
98512,11768,2089,The Hotel New Hampshire,,John Irving,3.89,50470,classic,humor
98601,11824,6427,The Whipping Boy,,"Sid Fleischman, Peter Sís",3.54,19391,historical,children
98703,11831,8111,Dicey's Song,Tillerman Cycle,Cynthia Voigt,3.94,15683,young adult,young adult
98826,11899,941,The Hours,,Michael Cunningham,3.91,106608,historical,historical
98901,11901,1217,The Witching Hour,Lives of the Mayfair Witches,Anne Rice,4.1,87921,horror,fantasy
99007,11908,7135,The Adventures of Augie March,,"Saul Bellow, Christopher Hitchens",3.84,13746,classic,classic
99101,11915,5814,Broken,Women of the Otherworld,Kelley Armstrong,4.19,26203,paranormal,fantasy
99201,11918,1779,Bitten,Women of the Otherworld,Kelley Armstrong,4.06,77950,fantasy,paranormal
99301,11919,7596,Haunted,Women of the Otherworld,Kelley Armstrong,4.08,21751,fantasy,paranormal
99401,11922,4293,Stolen,Women of the Otherworld,Kelley Armstrong,4.16,37977,fantasy,paranormal
99511,11987,3342,The Myth of Sisyphus and Other Essays,,"Albert Camus, Justin O'Brien",4.18,30895,classic,classic
99611,11989,872,The Plague,,"Albert Camus, Stuart Gilbert",3.97,111823,classic,classic
99711,11991,2024,The Fall,,"Albert Camus, Justin O'Brien",4.05,50340,classic,classic
99801,12007,3632,Use of Weapons,Culture,Iain M. Banks,4.18,29256,science-fiction,science-fiction
99901,12009,7638,The Algebraist,,Iain M. Banks,3.99,14793,science-fiction,science-fiction
100001,12013,5666,Excession,Culture,Iain M. Banks,4.19,18833,science-fiction,science-fiction
100101,12016,6709,Look to Windward,Culture,Iain M. Banks,4.16,16669,science-fiction,science-fiction
100201,12017,9894,Inversions,Culture,Iain M. Banks,3.9,10804,science-fiction,fantasy
100311,12021,6405,The Crow Road,,Iain Banks,4.07,15349,mystery,thriller
100401,12067,283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",,"Terry Pratchett, Neil Gaiman",4.25,326373,fantasy,humor
100508,12073,8390,Philosophical Investigations,,"Ludwig Wittgenstein, G.E.M. Anscombe",4.23,10085,classic,history
100609,12075,7606,Tractatus Logico-Philosophicus,,Ludwig Wittgenstein,4.06,12182,classic,classic
100711,12083,3916,Long Day's Journey Into Night,,Eugene O'Neill,4.07,28590,drama,classic
100803,12125,7345,Homecoming,Tillerman Cycle,Cynthia Voigt,3.92,18107,young adult,children
100908,12194,5437,Lord Jim,,Joseph Conrad,3.61,22703,classic,classic
101003,12204,3344,The Road Not Taken and Other Poems,,Robert Frost,4.27,31403,classic,classic
101112,12220,456,A Streetcar Named Desire,,Tennessee Williams,3.97,206983,classic,drama
101202,12296,138,The Scarlet Letter,,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",3.37,559246,historical,romance
101310,12321,2342,Beyond Good and Evil,,"Friedrich Nietzsche, R.J. Hollingdale, Michael Tanner",4.01,43322,history,classic
101435,12349,8516,My Year of Meats,,Ruth Ozeki,3.93,11143,humor,0
101517,12357,8045,Take the Cannoli,,Sarah Vowell,3.86,12330,humor,history
101629,12358,4418,The Partly Cloudy Patriot,,"Sarah Vowell, Katherine Streeter",3.9,23818,history,humor
101712,12374,6954,Independence Day,,Richard Ford,3.86,12877,classic,0
101809,12395,4672,Journey to the End of the Night,,"Louis-Ferdinand Céline, Ralph Manheim, William T. Vollmann",4.25,22613,classic,classic
101903,12448,9623,"Look Homeward, Angel",,Thomas Wolfe,3.94,10430,classic,classic
102009,12467,4810,The Naked and the Dead,,Norman Mailer,3.94,19912,historical,classic
102109,12468,6932,The Executioner's Song,,Norman Mailer,4.07,15169,crime,classic
102209,12497,815,No Country for Old Men,,Cormac McCarthy,4.12,110082,thriller,crime
102305,12499,6255,Belly Laughs: The Naked Truth About Pregnancy and Childbirth,,Jenny McCarthy,3.72,13804,humor,humor
102411,12505,1041,The Idiot,,"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",4.18,91393,classic,classic
102511,12527,6600,Pilgrim at Tinker Creek,,Annie Dillard,4.1,16926,classic,classic
102624,12535,5215,Plan B: Further Thoughts on Faith,,Anne Lamott,4.05,18542,humor,humor
102707,12540,4660,Operating Instructions: A Journal of My Son's First Year,,Anne Lamott,4.18,20063,humor,humor
102822,12542,7059,Grace,Eventually): Thoughts on Faith,Anne Lamott,3.98,13561,humor,0
102912,12543,1859,Bird by Bird: Some Instructions on Writing and Life,,Anne Lamott,4.22,57364,humor,classic
103010,12555,848,The Bonesetter's Daughter,,Amy Tan,3.98,105274,historical,historical
103111,12557,1714,The Kitchen God's Wife,,Amy Tan,3.98,62180,historical,historical
103228,12609,1888,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",,Anne Fadiman,4.14,49870,history,historical
103310,12617,8160,Manufacturing Consent: The Political Economy of the Mass Media,,"Noam Chomsky, Edward S. Herman",4.22,10987,history,classic
103408,12651,3717,The Social Contract,,"Jean-Jacques Rousseau, Maurice Cranston",3.75,27347,classic,history
103508,12657,3091,The Source,,James A. Michener,4.3,33099,historical,history
103609,12658,1581,Hawaii,,James A. Michener,4.18,61648,historical,historical
103708,12659,7586,Texas,,James A. Michener,4.06,14155,historical,history
103808,12661,7644,Chesapeake,,James A. Michener,4.14,16846,historical,history
103907,12663,6264,The Covenant,,James A. Michener,4.17,16533,history,historical
104003,12691,199,Marley and Me: Life and Love With the World's Worst Dog,,John Grogan,4.12,379348,humor,humor
104111,12722,7826,The Moon Is Down,,John Steinbeck,3.87,14721,classic,historical
104210,12749,3508,Swann's Way,In Search of Lost Time,"Marcel Proust, Simon Vance, Lydia Davis",4.14,31697,classic,classic
104301,12781,2440,The Satanic Verses,,Salman Rushdie,3.71,42878,classic,fantasy
104401,12786,8802,The City of Falling Angels,,John Berendt,3.52,12540,history,mystery
104501,12839,6593,A Separate Reality,,Carlos Castaneda,4.06,13080,fantasy,fantasy
104609,12857,3377,The Gambler,,"Fyodor Dostoyevsky, Constance Garnett, Gary Saul Morson",3.88,32540,classic,classic
104712,12873,270,Rebecca,,"Daphne du Maurier, Sally Beauman",4.2,329596,classic,mystery
104803,12898,715,Death of a Salesman,,Arthur Miller,3.49,147597,classic,classic
104901,12914,1280,The Aeneid,,"Virgil, Robert Fitzgerald",3.81,85351,classic,classic
105001,12923,8162,The Castle of Otranto,,Horace Walpole,3.18,16081,classic,horror
105101,12930,1290,Messenger,The Giver,Lois Lowry,3.9,89295,young adult,fantasy
105201,12936,856,Gathering Blue,The Giver,Lois Lowry,3.8,127810,children,young adult
105312,12938,714,King Lear,,William Shakespeare,3.89,147282,classic,drama
105401,12948,1878,The Turn of the Screw,,Henry James,3.45,66011,horror,classic
105512,12957,530,Much Ado About Nothing,,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",4.06,185702,classic,drama
105601,12967,4755,Winter's Tale,,Mark Helprin,3.5,23168,fantasy,romance
105701,12985,804,The Tempest,,William Shakespeare,3.8,135537,classic,historical
105810,12996,353,Othello,,William Shakespeare,3.88,256757,classic,drama
105903,13006,770,Julius Caesar,,"William Shakespeare, Roma Gill",3.65,135918,classic,drama
106012,13020,7074,"King Henry IV, Part 1",Wars of the Roses,"William Shakespeare, David Scott Kastan",3.81,18748,classic,drama
106101,13023,257,Alice in Wonderland,,"Jane Carruth, Lewis Carroll, Rene Cloke",4.03,343271,classic,fantasy
106207,13060,5929,Nature Girl,,Carl Hiaasen,3.61,18373,humor,mystery
106308,13061,8349,Stormy Weather,,Carl Hiaasen,3.94,12735,humor,mystery
106408,13062,7426,Skin Tight,Mick Stranahan,Carl Hiaasen,3.96,14239,mystery,humor
106516,13063,8446,Basket Case,,Carl Hiaasen,3.81,13127,mystery,humor
106616,13064,7471,Tourist Season,,Carl Hiaasen,3.95,14739,mystery,humor
106708,13065,8474,Native Tongue,Skink,Carl Hiaasen,3.94,11782,mystery,humor
106808,13066,5206,Sick Puppy,,Carl Hiaasen,3.88,19594,mystery,humor
106903,13067,5526,Flush,,Carl Hiaasen,3.86,21766,young adult,mystery
107008,13068,9731,Double Whammy,,Carl Hiaasen,3.92,10738,mystery,humor
107108,13074,8781,Strip Tease,,Carl Hiaasen,3.82,12460,mystery,humor
107208,13079,3333,Skinny Dip,,Carl Hiaasen,3.79,32615,mystery,humor
107303,13083,1279,Hoot,,Carl Hiaasen,3.81,82386,young adult,young adult
107401,13103,1079,The Celestine Prophecy,Celestine Prophecy,James Redfield,3.6,77657,fantasy,adventure
107501,13105,9236,The Tenth Insight: Holding the Vision,Celestine Prophecy,James Redfield,3.61,9485,adventure,fantasy
107608,13128,2277,Cross,Alex Cross,James Patterson,3.99,46069,mystery,thriller
107708,13130,2354,Judge & Jury,,"James Patterson, Andrew Gross",3.98,40618,mystery,thriller
107817,13131,2568,The 6th Target,Women's Murder Club,"James Patterson, Maxine Paetro",4.02,45657,mystery,thriller
107917,13132,1858,3rd Degree,Women's Murder Club,"James Patterson, Andrew Gross",4.0,60574,mystery,crime
108007,13133,3162,The Quickie,,"James Patterson, Michael Ledwidge",3.82,32975,mystery,thriller
108101,13134,5966,You've Been Warned,,"James Patterson, Howard Roughan",3.52,17796,mystery,thriller
108218,13136,1379,2nd Chance,Women's Murder Club,"James Patterson, Andrew Gross",4.01,75300,mystery,crime
108310,13137,336,1st to Die,Women's Murder Club,James Patterson,4.05,242428,mystery,crime
108401,13139,1351,School's Out—Forever,Maximum Ride,James Patterson,4.16,96823,young adult,fantasy
108516,13140,2012,Jack & Jill,Alex Cross,James Patterson,3.95,56005,mystery,thriller
108624,13143,2184,Pop Goes the Weasel,Alex Cross,James Patterson,3.98,49447,crime,suspense
108716,13145,242,Along Came a Spider,Alex Cross,James Patterson,4.08,318031,mystery,thriller
108817,13147,3098,Honeymoon,Honeymoon,"James Patterson, Howard Roughan",3.81,33846,mystery,thriller
108908,13148,266,Kiss the Girls,Alex Cross,James Patterson,3.93,279116,mystery,thriller
109016,13151,3223,London Bridges,Alex Cross,James Patterson,3.92,34843,mystery,thriller
109101,13152,569,The Angel Experiment,Maximum Ride,James Patterson,4.08,183035,young adult,fantasy
109208,13153,1746,Hide and Seek,,James Patterson,4.1,54463,mystery,thriller
109301,13157,6728,The Jester,,"James Patterson, Andrew Gross",3.79,16688,mystery,historical
109401,13162,2519,When the Wind Blows,When the Wind Blows,James Patterson,3.92,41722,mystery,thriller
109501,13168,6959,Runaway Ralph,Ralph S. Mouse,Beverly Cleary,3.95,17858,children,children
109603,13214,317,I Know Why the Caged Bird Sings,,Maya Angelou,4.19,284448,classic,classic
